sender,receiver,receiver_2,event_day,rec_pub_day,rec_pub_year,rec_pub_day_2,rec_pub_year_2,lag,lag_2,jac_sim,jac_sim_2,cumu_cit_rec,cumu_cit_rec_2,rec_outd,rec_outd_2,tfe,tfe_2,sim,sim_2
4729258,4233858,4316065,4450,1783,1980,2238,1982,2667,2212,0.5,0.0,6,3.0,1,1,665,126.0,0.3395901024341583,0.3630222976207733
4729139,4323358,4086917,4450,2287,1982,852,1978,2163,3598,0.3333333333333333,0.3333333333333333,6,1.0,2,1,364,3598.0,0.36104995012283325,0.2052987813949585
4729349,4559018,4130361,4450,3638,1985,1083,1978,812,3367,0.0,0.0,1,6.0,10,1,812,448.0,0.31616470217704773,0.18646898865699768
4731839,4443660,4291693,4457,3029,1984,2098,1981,1428,2359,1.0,0.0,6,3.0,9,3,357,1001.0,0.46684157848358154,0.27348393201828003
4734089,4425112,4152417,4471,2931,1984,1216,1979,1540,3255,1.0,0.0,2,1.0,1,3,931,3255.0,0.5186658501625061,0.06720776855945587
4735760,4407649,4297174,4478,2833,1983,2126,1981,1645,2352,1.0,0.0,1,2.0,1,4,1645,1092.0,0.7527722716331482,0.1141028180718422
4743295,4544401,4062007,4513,3561,1985,705,1977,952,3808,1.0,0.0,4,6.0,1,1,49,336.0,0.5080214142799377,0.03210083022713661
4745332,4649314,4468938,4520,4086,1987,3169,1984,434,1351,1.0,0.0,1,3.0,4,4,434,203.0,0.36472034454345703,0.13849827647209167
4748622,4320503,4523857,4534,2266,1982,3456,1985,2268,1078,1.0,0.0,4,2.0,1,4,693,105.0,0.5057299733161926,0.34729740023612976
4750308,4655014,4050868,4548,4114,1987,635,1977,434,3913,1.0,0.0,2,2.0,1,1,91,1526.0,0.6337409019470215,0.3698351979255676
4750598,4594669,4566002,4548,3813,1986,3673,1986,735,875,0.0,0.0,1,2.0,8,16,735,392.0,0.4645417630672455,0.4129381775856018
4752443,4288327,4166282,4555,2077,1981,1335,1979,2478,3220,0.5,0.0,9,3.0,2,2,56,910.0,0.4043439030647278,0.028827831149101257
4751993,4468207,4431197,4555,3162,1984,2966,1984,1393,1589,1.0,1.0,7,3.0,3,1,56,189.0,0.5722554326057434,0.30592069029808044
4754206,4185234,4219832,4562,1482,1980,1699,1980,3080,2863,1.0,1.0,5,2.0,4,2,350,343.0,0.6467034220695496,0.24362383782863617
4755068,4484170,4251632,4569,3246,1984,1874,1981,1323,2695,0.0,0.0,3,4.0,6,1,224,518.0,0.4567439556121826,0.21348711848258972
4756133,4205497,4021385,4576,1615,1980,488,1977,2961,4088,0.0,0.0,6,10.0,2,1,280,1001.0,0.550889253616333,0.08544710278511047
4756285,4210105,4153890,4576,1643,1980,1223,1979,2933,3353,1.0,0.0,4,4.0,4,1,287,840.0,0.670927107334137,0.2512246370315552
4767518,4490444,4393585,4625,3281,1984,2756,1983,1344,1869,0.0,0.0,14,1.0,1,1,77,1869.0,0.35383141040802,0.2564738690853119
4767654,4545781,4083715,4625,3568,1985,831,1978,1057,3794,0.0,0.0,2,4.0,4,5,189,1729.0,0.5662910342216492,0.22404953837394714
4768973,4511197,4007788,4632,3393,1985,411,1977,1239,4221,1.0,0.0,3,3.0,4,1,0,70.0,0.37286826968193054,0.12280900031328201
4773423,4562842,4159189,4653,3659,1986,1272,1979,994,3381,1.0,0.0,1,2.0,5,1,994,1897.0,0.7512954473495483,0.18543300032615662
4782447,4608656,4224510,4688,3890,1986,1727,1980,798,2961,0.5,0.0,6,1.0,10,1,84,2961.0,0.585504412651062,0.2719101011753082
4789495,4588514,4318980,4723,3785,1986,2259,1982,938,2464,1.0,0.0,4,12.0,1,2,63,91.0,0.39053604006767273,0.27023306488990784
4792226,4569080,4516864,4737,3687,1986,3421,1985,1050,1316,1.0,0.0,2,1.0,2,9,35,1316.0,0.6766906380653381,0.2372468113899231
4792989,4365348,4258803,4737,2546,1982,1916,1981,2191,2821,1.0,0.0,1,4.0,1,1,2191,672.0,0.5367277264595032,0.04822346568107605
4793812,4703186,4043802,4744,4317,1987,600,1977,427,4144,0.0,0.0,1,6.0,4,1,427,273.0,0.474848210811615,0.2765814960002899
4794862,4538687,4624981,4751,3533,1985,3981,1986,1218,770,1.0,0.0,4,2.0,2,1,91,266.0,0.4096348285675049,0.0512586273252964
4795387,4449473,4455922,4751,3064,1984,3099,1984,1687,1652,0.0,0.0,1,1.0,3,1,1687,1652.0,0.36425119638442993,0.2759833335876465
4798063,4324111,4342710,4765,2294,1982,2406,1982,2471,2359,1.0,0.0,10,5.0,1,2,70,861.0,0.4406066834926605,0.4847339987754822
4803659,4275316,3985481,4786,2000,1981,285,1976,2786,4501,0.0,0.0,4,4.0,3,1,84,2513.0,0.5518701076507568,0.11441896110773087
4803102,4572852,4654853,4786,3708,1986,4107,1987,1078,679,0.3333333333333333,0.0,4,1.0,7,1,112,679.0,0.31524214148521423,0.07821141183376312
4804011,4325403,4136612,4793,2301,1982,1125,1979,2492,3668,1.0,0.0,15,2.0,3,2,35,1827.0,0.603676438331604,0.3239450752735138
4807427,4255918,4215640,4807,1902,1981,1678,1980,2905,3129,1.0,0.0,4,5.0,3,1,238,119.0,0.5008935332298279,0.23059703409671783
4811857,4210251,4443807,4821,1643,1980,3029,1984,3178,1792,1.0,0.0,4,3.0,2,3,476,1358.0,0.47226500511169434,0.2717253863811493
